pango,github_issue,is_in_results,is_in_arg,is_in_matches,is_clean,is_nested,re_node,type,parent_left_pango,parent_right_pango,parents_extra,interval_left,interval_right,intervals_extra
XA,https://github.com/jeromekelleher/sc2ts-paper/issues/385,TRUE,TRUE,n/a,TRUE,FALSE,122444,simple,B.1.177.18,B.1.1.7,,20411,21767,
XAA,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,TRUE,n/a,TRUE,TRUE,1058654,simple,BA.1.1.15,BA.2.9,,4322,5386,
XAC,https://github.com/jeromekelleher/sc2ts-paper/issues/357,TRUE,TRUE,n/a,TRUE,TRUE,964555,simple,BA.2,BA.1.17.2,,24504,26060,
XAD,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,TRUE,n/a,TRUE,TRUE,964555,simple,BA.2,BA.1.17.2,,24504,26060,
XAE,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,TRUE,n/a,TRUE,TRUE,964555,simple,BA.2,BA.1.17.2,,24504,26060,
XAF,https://github.com/jeromekelleher/sc2ts-paper/issues/360,TRUE,TRUE,n/a,FALSE,FALSE,1177107,simple,BA.1.1,BA.2,,10199,10447,
XAG,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,TRUE,n/a,TRUE,TRUE,1058654,simple,BA.1.1.15,BA.2.9,,4322,5386,
XAJ,https://github.com/jeromekelleher/sc2ts-paper/issues/352,TRUE,TRUE,n/a,FALSE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XAL,https://github.com/jeromekelleher/sc2ts-paper/issues/365,TRUE,TRUE,n/a,TRUE,TRUE,1003220,simple,BA.1.1,BA.2,,17411,21633,
XAM,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,TRUE,n/a,TRUE,TRUE,1058654,simple,BA.1.1.15,BA.2.9,,4322,5386,
XAN,https://github.com/jeromekelleher/sc2ts-paper/issues/353,TRUE,TRUE,n/a,FALSE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XAP,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,TRUE,n/a,TRUE,TRUE,964555,simple,BA.2,BA.1.17.2,,24504,26060,
XAS,https://github.com/jeromekelleher/sc2ts-paper/issues/340,TRUE,TRUE,n/a,FALSE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XAU,https://github.com/jeromekelleher/sc2ts-paper/issues/348,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XAV,https://github.com/jeromekelleher/sc2ts-paper/issues/354,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XAZ,https://github.com/jeromekelleher/sc2ts-paper/issues/356,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XB,https://github.com/jeromekelleher/sc2ts-paper/issues/332,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XBB,https://github.com/jeromekelleher/sc2ts-paper/issues/336,TRUE,TRUE,n/a,TRUE,FALSE,1396207,simple,BA.2.10,BM.1.1.1,,22332,22577,
XBD,,TRUE,TRUE,n/a,TRUE,FALSE,1378208,simple,BA.2.75.2,BA.5.2.1,,23020,24620,
XBE,https://github.com/jeromekelleher/sc2ts-paper/issues/351,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XBF,,TRUE,TRUE,n/a,TRUE,FALSE,1420385,simple,BA.5.2.1,BM.1.1.1,,5184,9866,
XBG,,TRUE,TRUE,n/a,TRUE,FALSE,1291970,simple,BA.2.76,BA.5.2,,22305,22917,
XBH,,TRUE,TRUE,n/a,TRUE,FALSE,1379419,simple,BA.2,BA.2.75.2,,15452,22001,
XBK,https://github.com/jeromekelleher/sc2ts-paper/issues/350,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XBM,,TRUE,TRUE,n/a,TRUE,FALSE,1348822,simple,BA.2.76,BF.3,,22305,22917,
XBQ,https://github.com/jeromekelleher/sc2ts-paper/issues/349,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XBR,,TRUE,TRUE,n/a,TRUE,FALSE,1420166,simple,BN.3.1,BQ.1.25,,22034,22190,
XC,,TRUE,TRUE,n/a,TRUE,FALSE,414488,simple,AY.29,B.1.1.7,,26768,27390,
XE,https://github.com/jeromekelleher/sc2ts-paper/issues/337,TRUE,TRUE,n/a,TRUE,TRUE,965353,simple,BA.1.17.2,BA.2,,10448,11283,
XF,,TRUE,TRUE,n/a,TRUE,FALSE,946761,simple,AY.4,BA.1,,5387,6402,
XG,,TRUE,TRUE,n/a,TRUE,FALSE,1083412,simple,BA.1.17,BA.2.9,,5925,6513,
XH,https://github.com/jeromekelleher/sc2ts-paper/issues/337,TRUE,TRUE,n/a,TRUE,TRUE,965353,simple,BA.1.17.2,BA.2,,10448,11283,
XJ,,TRUE,TRUE,n/a,TRUE,FALSE,966905,simple,BA.1.17.2,BA.2,,13196,17410,
XL,,TRUE,TRUE,n/a,TRUE,FALSE,1034619,simple,BA.1.17.2,BA.2,,5925,8393,
XM,https://github.com/jeromekelleher/sc2ts-paper/issues/365,TRUE,TRUE,n/a,FALSE,TRUE,1003220,simple,BA.1.1,BA.2,,17411,21633,
XN,https://github.com/jeromekelleher/sc2ts-paper/issues/285,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XP,https://github.com/jeromekelleher/sc2ts-paper/issues/345,TRUE,TRUE,n/a,TRUE,n/a,-1,non,n/a,n/a,,n/a,n/a,
XQ,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,TRUE,n/a,TRUE,TRUE,1058654,simple,BA.1.1.15,BA.2.9,,4322,5386,
XR,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,TRUE,n/a,TRUE,TRUE,1058654,simple,BA.1.1.15,BA.2.9,,4322,5386,
XS,https://github.com/jeromekelleher/sc2ts-paper/issues/287,TRUE,TRUE,n/a,FALSE,FALSE,1000242,simple,AY.103,BA.1.1,,9054,10449,
XU,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,TRUE,n/a,TRUE,TRUE,1058654,simple,BA.1.1.15,BA.2.9,,4322,5386,
XW,,TRUE,TRUE,n/a,TRUE,FALSE,1159411,simple,BA.1.1.15,BA.2,,2833,4321,
XY,,TRUE,TRUE,n/a,TRUE,FALSE,1187989,simple,BA.1.1,BA.2,,11538,12880,
XZ,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,TRUE,n/a,TRUE,TRUE,964555,simple,BA.2,BA.1.17.2,,24504,26060,
XAB,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,FALSE,n/a,n/a,n/a,non,n/a,n/a,,n/a,n/a,
XAH,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,FALSE,n/a,n/a,n/a,non,n/a,n/a,,n/a,n/a,
XAK,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,simple,Unknown (R),BA.2,,21642,21762,
XAY,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,complex,BA.2.*,AY.*,BA.2.*;AY.4;BA.5.*;AY.4;BA.2.*,-,-,
XBC,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,complex,AY.*,BM.1.1,AY.*,-,-,
XBJ,https://github.com/jeromekelleher/sc2ts-paper/issues/362,TRUE,FALSE,TRUE,n/a,n/a,n/a,simple,BA.2.3.20,BA.5.2,,23019,25810,
XBL,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,non,n/a,n/a,,n/a,n/a,
XBN,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,FALSE,n/a,n/a,n/a,simple,BN.1,XBB,,5184,12444,
XBP,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,simple,BL.2,BQ.1.1.3,,22191,22331,
XBS,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,simple,BA.2.75,BQ.1.1,,22034,22190,
XBT,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,complex,BA.5.2.34,BA.2.75,BA.5.2.34,5184,9866,22578-22898
XBU,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,FALSE,FALSE,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,
XBW,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,simple,XBB.1.5,BQ.1.14,,25417,26275,
XBZ,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,FALSE,n/a,n/a,n/a,non,n/a,n/a,,n/a,n/a,
XCA,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,TRUE,n/a,n/a,n/a,simple,BA.2.75.2,BQ.1.1.1,,22748,22893,
XCG,https://github.com/jeromekelleher/sc2ts-paper/issues/366,TRUE,FALSE,FALSE,n/a,n/a,n/a,non,n/a,n/a,,n/a,n/a,